nama,total_aset,penghasilan_bulanan,pengeluaran_bulanan,total_hutang,bunga_hutang,Estimasi Lunas dalam Bulan,Estimasi Lunas dalam Tahun,Total Hutang Setelah menjual asset,Estimasi Lunas dalam Bulan setelah menjual setengah asset,Estimasi Lunas dalam Tahun setelah menjual setengah asset
Eric Fuller,"Rp115,797,503","Rp30,915,002","Rp10,437,712","Rp205,693,664",2.14,9.87,0.8,147794913,3.6,0.3
Christine Johnston,"Rp436,161,286","Rp3,996,530","Rp3,996,530","Rp321,927,276",14.32,83.80,7.0,103846633,41.9,3.5
Martin Adams,"Rp422,058,818","Rp22,378,839","Rp22,378,839","Rp348,857,254",12.74,94.19,7.8,137827845,47.1,3.9
Steven Fuller,"Rp150,071,312","Rp42,785,651","Rp7,783,182","Rp344,444,699",12.27,8.94,0.7,269409043,3.6,0.3
Tanya Lopez,"Rp259,369,215","Rp14,292,148","Rp14,292,148","Rp310,794,297",12.52,95.85,8.0,181109690,47.9,4.0
Juan Mcclure,"Rp303,383,200","Rp39,919,127","Rp31,565,896","Rp11,722,055",14.06,1.38,0.1,0,0.0,0.0
Shelly Pace,"Rp192,708,911","Rp15,966,064","Rp3,206,861","Rp53,968,538",8.62,4.11,0.3,0,0.0,0.0
Craig Wilson,"Rp412,330,059","Rp13,580,030","Rp13,580,030","Rp14,035,949",3.8,315.79,26.3,0,0.0,0.0
Linda French,"Rp47,856,186","Rp34,199,893","Rp5,119,612","Rp224,624,790",9.63,7.27,0.6,200696697,3.3,0.3
Mike Chaney,"Rp58,673,237","Rp8,786,265","Rp6,936,600","Rp37,672,748",11.4,17.07,1.4,8336130,2.2,0.2
Melissa Wells,"Rp75,293,686","Rp44,041,777","Rp16,648,065","Rp346,825,966",11.33,11.31,0.9,309179123,5.1,0.4
Daniel Flowers,"Rp11,983,509","Rp34,299,028","Rp34,299,028","Rp260,656,662",8.3,144.58,12.0,254664908,72.3,6.0
Steven Wilson,"Rp395,992,349","Rp29,461,126","Rp16,160,134","Rp179,198,448",1.96,13.18,1.1,0,0.0,0.0
Jesus Perez,"Rp430,952,101","Rp32,168,464","Rp32,168,464","Rp269,526,673",6.2,193.55,16.1,54050623,96.8,8.1
Andrew Harrison,"Rp456,216,421","Rp37,124,883","Rp19,034,897","Rp33,751,505",13.89,1.83,0.2,0,0.0,0.0
Christopher Everett,"Rp87,729,132","Rp28,185,640","Rp24,406,697","Rp178,053,251",9.18,34.63,2.9,134188685,14.0,1.2
Samantha Hood,"Rp489,928,882","Rp37,521,776","Rp29,164,021","Rp42,962,717",8.54,4.96,0.4,0,0.0,0.0
Alejandro Wong V,"Rp83,214,389","Rp47,798,099","Rp37,609,212","Rp221,272,544",4.76,19.99,1.7,179665350,8.2,0.7
Carl Keith,"Rp143,568,263","Rp38,966,581","Rp26,768,424","Rp353,908,158",6.16,25.25,2.1,282124027,10.3,0.9
George Baker,"Rp36,365,210","Rp8,398,869","Rp8,398,869","Rp166,767,843",13.53,88.69,7.4,148585238,44.3,3.7
John Craig,"Rp265,096,858","Rp34,029,723","Rp2,842,186","Rp193,754,331",10.33,5.90,0.5,61205902,1.0,0.1
Brandy Mccoy,"Rp202,463,073","Rp19,405,566","Rp19,405,566","Rp217,960,167",12.02,99.83,8.3,116728631,49.9,4.2
Ian White,"Rp439,833,492","Rp12,427,504","Rp12,427,504","Rp10,059,667",7.36,163.04,13.6,0,0.0,0.0
Susan Davies,"Rp21,326,237","Rp14,686,214","Rp14,686,214","Rp113,754,032",9.82,122.20,10.2,103090914,61.1,5.1
Kristy Cooper,"Rp96,343,264","Rp10,022,336","Rp10,022,336","Rp309,975,584",4.48,267.86,22.3,261803952,133.9,11.2
Autumn Knight,"Rp340,299,675","Rp22,655,820","Rp22,655,820","Rp130,583,691",10.88,110.29,9.2,0,0.0,0.0
Rachael Rowe,"Rp198,652,398","Rp31,746,717","Rp31,746,717","Rp349,370,553",6.99,171.67,14.3,250044354,85.8,7.2
Paul Schneider,"Rp311,691,332","Rp24,105,074","Rp3,124,905","Rp310,290,994",7.2,13.58,1.1,154445328,3.5,0.3
Nicole Rogers,"Rp461,767,291","Rp32,122,426","Rp32,122,426","Rp291,584,742",10.09,118.93,9.9,60701097,59.5,5.0
Kim Long,"Rp428,553,660","Rp15,485,559","Rp15,485,559","Rp166,814,273",14.11,85.05,7.1,0,0.0,0.0
Richard Patrick,"Rp142,166,290","Rp34,908,562","Rp7,559,277","Rp192,143,102",1.9,6.95,0.6,121059957,2.2,0.2
Leslie Lloyd,"Rp319,255,683","Rp27,210,749","Rp27,210,749","Rp95,607,388",12.55,95.62,8.0,0,0.0,0.0
Sheena Thomas,"Rp114,436,258","Rp11,652,831","Rp11,652,831","Rp235,510,696",5.09,235.76,19.6,178292567,117.9,9.8
Kristin Estrada,"Rp89,688,895","Rp16,691,164","Rp16,691,164","Rp97,127,433",7.21,166.44,13.9,52282986,83.2,6.9
Kristin Phillips,"Rp97,927,856","Rp25,761,900","Rp10,593,059","Rp61,002,354",1.31,4.00,0.3,12038426,0.4,0.0
Kevin Dixon,"Rp197,276,799","Rp14,707,868","Rp14,707,868","Rp48,513,097",5.21,230.33,19.2,0,0.0,0.0
Nicholas Ford,"Rp233,813,648","Rp17,246,173","Rp17,246,173","Rp14,249,677",8.04,149.25,12.4,0,0.0,0.0
Mr. Christopher Reynolds MD,"Rp291,142,491","Rp39,248,719","Rp35,957,754","Rp52,657,169",1.79,15.63,1.3,0,0.0,0.0
Samuel Reynolds,"Rp417,783,581","Rp13,055,079","Rp13,055,079","Rp64,576,882",7.88,152.28,12.7,0,0.0,0.0
Michael Adkins,"Rp348,995,676","Rp43,066,066","Rp31,737,667","Rp169,441,205",13.98,12.74,1.1,0,0.0,0.0
Becky Taylor,"Rp136,960,685","Rp16,781,009","Rp16,781,009","Rp130,935,142",2.48,483.87,40.3,62454800,241.9,20.2
James Howell,"Rp181,216,244","Rp45,531,405","Rp16,752,304","Rp206,212,674",11.7,6.70,0.6,115604552,1.9,0.2
Christopher Hughes,"Rp46,481,541","Rp49,962,034","Rp18,055,099","Rp60,306,693",6.74,1.87,0.2,37065923,0.6,0.0
Paul Paul,"Rp76,385,640","Rp3,703,662","Rp3,703,662","Rp122,911,041",10.17,117.99,9.8,84718221,59.0,4.9
Kimberly Carlson,"Rp345,316,004","Rp40,646,529","Rp16,952,964","Rp133,812,636",4.64,5.53,0.5,0,0.0,0.0
Kelly Murillo,"Rp239,001,495","Rp16,769,205","Rp16,769,205","Rp290,374,117",3.23,371.52,31.0,170873370,185.8,15.5
Clinton Johnston,"Rp356,819,932","Rp17,013,403","Rp17,013,403","Rp344,378,562",3.25,369.23,30.8,165968596,184.6,15.4
Erin Edwards,"Rp238,424,176","Rp46,542,641","Rp25,718,663","Rp150,889,167",1.99,7.16,0.6,31677079,0.8,0.1
Bobby Johnson,"Rp236,623,789","Rp42,648,899","Rp23,814,501","Rp78,603,367",3.6,4.12,0.3,0,0.0,0.0
Diane Greer,"Rp403,654,452","Rp46,177,856","Rp37,463,234","Rp305,701,953",10.3,26.96,2.2,103874727,5.4,0.5
Andres Hutchinson,"Rp320,493,790","Rp29,791,175","Rp9,334,901","Rp55,279,504",13.34,2.62,0.2,0,0.0,0.0
Rick Lam,"Rp390,619,874","Rp13,353,564","Rp13,353,564","Rp305,142,504",12.4,96.77,8.1,109832567,48.4,4.0
Wendy Chavez,"Rp462,395,707","Rp40,003,110","Rp22,946,178","Rp207,010,621",10.59,10.96,0.9,0,0.0,0.0
Thomas Medina,"Rp452,422,240","Rp16,942,402","Rp14,132,693","Rp144,555,083",2.55,46.38,3.9,0,0.0,0.0
Kristen Whitehead,"Rp333,609,715","Rp31,676,873","Rp25,467,137","Rp198,448,354",5.05,28.17,2.3,31643497,2.5,0.2
Samantha Hart,"Rp200,906,558","Rp24,988,809","Rp24,988,809","Rp322,196,522",5.34,224.72,18.7,221743243,112.4,9.4
Ian Sexton,"Rp249,216,892","Rp32,229,010","Rp16,931,115","Rp367,462,518",4.5,22.04,1.8,242854072,7.5,0.6
Linda Hoover,"Rp53,369,428","Rp17,493,549","Rp17,493,549","Rp336,570,988",8.21,146.16,12.2,309886274,73.1,6.1
Regina Schmidt,"Rp293,085,727","Rp13,669,435","Rp13,669,435","Rp109,662,990",8.5,141.18,11.8,0,0.0,0.0
Teresa Chan,"Rp444,378,710","Rp19,642,016","Rp19,642,016","Rp192,857,881",6,200.00,16.7,0,0.0,0.0
Jimmy Patterson MD,"Rp89,348,896","Rp44,924,694","Rp25,384,179","Rp155,902,116",5.95,7.67,0.6,111227668,2.8,0.2
Madison Deleon,"Rp297,427,839","Rp46,728,950","Rp12,093,205","Rp254,205,309",12.6,6.81,0.6,105491390,1.5,0.1
Alexa Davis,"Rp483,648,450","Rp35,722,310","Rp21,328,547","Rp256,867,184",12.05,15.13,1.3,15042959,0.5,0.0
Danny Campbell,"Rp201,094,911","Rp14,484,508","Rp14,484,508","Rp396,062,654",5.31,225.99,18.8,295515199,113.0,9.4
Nicolas Rose,"Rp253,959,576","Rp10,449,607","Rp10,449,607","Rp398,452,440",13.79,87.02,7.3,271472652,43.5,3.6
Mrs. Jennifer Hall MD,"Rp94,574,185","Rp23,820,280","Rp23,820,280","Rp291,573,975",14.34,83.68,7.0,244286883,41.8,3.5
Danielle Mercer DDS,"Rp272,657,758","Rp16,839,094","Rp12,758,430","Rp122,216,760",5.57,26.29,2.2,0,0.0,0.0
David Marquez,"Rp414,642,357","Rp19,701,250","Rp19,701,250","Rp294,414,437",5.96,201.34,16.8,87093259,100.7,8.4
Justin Harris,"Rp315,070,649","Rp39,992,982","Rp21,661,007","Rp58,225,748",8.08,3.11,0.3,0,0.0,0.0
Ryan Lewis,"Rp246,295,490","Rp3,076,218","Rp3,076,218","Rp294,879,477",14.18,84.63,7.1,171731732,42.3,3.5
Christopher Carlson,"Rp310,910,439","Rp26,656,190","Rp14,569,021","Rp240,927,185",13.27,16.33,1.4,85471966,3.3,0.3
Toni Clark,"Rp312,434,989","Rp20,547,260","Rp5,496,605","Rp129,115,363",2.44,8.43,0.7,0,0.0,0.0
Maureen Grant,"Rp427,369,879","Rp8,579,079","Rp8,579,079","Rp211,015,074",6.5,184.62,15.4,0,0.0,0.0
Kirk Bullock,"Rp370,428,145","Rp47,489,781","Rp28,471,311","Rp338,352,364",8.75,15.75,1.3,153138292,3.8,0.3
Eric Alexander,"Rp208,184,878","Rp16,061,358","Rp7,311,499","Rp114,011,318",8.04,11.98,1.0,9918879,0.6,0.0
William Mays,"Rp476,634,390","Rp32,822,180","Rp18,413,328","Rp187,683,720",3.71,12.52,1.0,0,0.0,0.0
Tamara Martinez,"Rp74,785,345","Rp31,645,954","Rp19,085,839","Rp246,864,628",13.02,16.20,1.3,209471956,7.1,0.6
Erica Clark,"Rp27,882,750","Rp45,290,779","Rp39,201,803","Rp172,439,993",10.48,22.70,1.9,158498618,10.6,0.9
Belinda Vaughan,"Rp88,725,274","Rp19,354,286","Rp19,354,286","Rp392,773,469",12.73,94.27,7.9,348410832,47.1,3.9
Steven Bennett,"Rp204,521,577","Rp11,860,935","Rp11,860,935","Rp311,744,507",13.02,92.17,7.7,209483719,46.1,3.8
Becky Hamilton,"Rp20,192,257","Rp27,444,321","Rp27,444,321","Rp212,791,969",11.48,104.53,8.7,202695841,52.3,4.4
Megan Morgan,"Rp321,603,161","Rp39,249,378","Rp3,147,116","Rp44,683,871",7.15,1.23,0.1,0,0.0,0.0
Brendan Miller,"Rp433,783,527","Rp40,783,647","Rp39,327,195","Rp316,051,714",9.55,79.58,6.6,99159951,22.1,1.8
Daniel Fritz,"Rp319,305,248","Rp21,699,351","Rp21,699,351","Rp327,652,354",3.25,369.23,30.8,167999730,184.6,15.4
Nathaniel Johnson V,"Rp59,913,224","Rp18,105,101","Rp18,105,101","Rp345,446,379",10.43,115.05,9.6,315489767,57.5,4.8
Debra Conley,"Rp342,791,594","Rp43,576,287","Rp36,825,732","Rp183,821,966",3.51,25.22,2.1,12426169,0.9,0.1
Kelly Orozco,"Rp370,394,997","Rp45,842,925","Rp14,048,339","Rp45,162,344",10.72,1.40,0.1,0,0.0,0.0
Laurie Wilson,"Rp480,260,911","Rp11,997,354","Rp11,997,354","Rp245,454,718",4.21,285.04,23.8,5324263,142.5,11.9
Anthony Soto,"Rp236,860,070","Rp43,906,639","Rp14,776,695","Rp300,780,711",2.65,10.10,0.8,182350676,3.1,0.3
Philip Chase,"Rp197,225,564","Rp31,168,643","Rp31,168,643","Rp67,929,994",3.31,362.54,30.2,0,0.0,0.0
Mrs. Mary Rowe,"Rp209,759,529","Rp32,677,043","Rp32,677,043","Rp358,040,943",1.03,1165.05,97.1,253161179,582.5,48.5
Carrie Park,"Rp264,954,230","Rp4,962,165","Rp4,962,165","Rp57,869,791",11.06,108.50,9.0,0,0.0,0.0
Eric Carlson,"Rp202,332,313","Rp10,985,620","Rp10,985,620","Rp122,769,333",11.25,106.67,8.9,21603177,53.3,4.4
Samantha Morales,"Rp268,185,058","Rp3,611,213","Rp3,611,213","Rp351,113,635",8.21,146.16,12.2,217021106,73.1,6.1
Jennifer Hodges,"Rp36,658,609","Rp27,527,791","Rp24,636,262","Rp82,198,715",3.26,26.39,2.2,63869411,10.4,0.9
Cory Gonzalez,"Rp488,947,735","Rp40,795,793","Rp24,811,423","Rp277,322,464",2.17,16.82,1.4,32848597,1.0,0.1
Sharon Leonard,"Rp174,241,932","Rp38,393,865","Rp13,654,304","Rp115,864,279",1.27,4.66,0.4,28743313,0.6,0.0
Lauren Bell,"Rp360,444,347","Rp34,712,006","Rp31,370,827","Rp55,171,169",3.32,15.79,1.3,0,0.0,0.0
Jillian Williams,"Rp58,715,257","Rp9,569,632","Rp5,341,861","Rp184,788,215",13.47,29.32,2.4,155430587,13.0,1.1
Sandra Scott,"Rp32,268,806","Rp23,449,430","Rp15,116,915","Rp179,497,435",4.38,19.97,1.7,163363032,9.1,0.8
Brooke Humphrey,"Rp16,512,440","Rp21,803,796","Rp21,803,796","Rp243,496,676",5.96,201.34,16.8,235240456,100.7,8.4
Monica Reese,"Rp22,431,395","Rp49,846,098","Rp4,615,804","Rp94,079,814",2.47,2.07,0.2,82864117,0.9,0.1
Lucas Sims,"Rp217,426,220","Rp44,061,756","Rp23,089,933","Rp80,566,275",4.11,3.79,0.3,0,0.0,0.0
Michelle Eaton,"Rp307,529,363","Rp9,202,258","Rp9,202,258","Rp197,321,956",8.27,145.10,12.1,43557275,72.6,6.0
Jon Wall,"Rp117,219,264","Rp24,116,451","Rp24,116,451","Rp69,841,271",9.51,126.18,10.5,11231639,63.1,5.3
Mrs. Cynthia Jackson,"Rp314,688,903","Rp12,880,860","Rp12,880,860","Rp56,139,392",4.43,270.88,22.6,0,0.0,0.0
Stephen Holland,"Rp340,570,239","Rp6,526,737","Rp5,270,209","Rp312,710,510",1.81,180.95,15.1,142425391,48.4,4.0
Allen Robinson,"Rp103,560,813","Rp11,790,529","Rp11,790,529","Rp131,528,659",6.47,185.47,15.5,79748253,92.7,7.7
Michael Rodriguez,"Rp206,678,031","Rp21,786,176","Rp21,786,176","Rp390,554,194",4.28,280.37,23.4,287215179,140.2,11.7
Whitney Mckay,"Rp228,049,165","Rp24,232,430","Rp13,045,633","Rp114,297,308",4.07,9.87,0.8,272726,0.0,0.0
Megan Francis,"Rp74,447,435","Rp36,246,730","Rp22,101,880","Rp79,042,569",14.44,5.24,0.4,41818852,1.4,0.1
Stephanie Anderson,"Rp59,895,282","Rp43,473,321","Rp31,752,264","Rp94,431,483",9.63,7.57,0.6,64483842,2.6,0.2
Carl Austin,"Rp387,936,342","Rp23,153,729","Rp23,153,729","Rp21,794,513",8.8,136.36,11.4,0,0.0,0.0
Heather Harrington,"Rp128,613,134","Rp18,823,554","Rp18,823,554","Rp56,120,091",6.82,175.95,14.7,0,0.0,0.0
Brendan Lowe,"Rp12,503,771","Rp15,790,902","Rp15,790,902","Rp33,820,898",7.01,171.18,14.3,27569013,85.6,7.1
William Chang,"Rp348,722,145","Rp13,473,867","Rp13,473,867","Rp394,141,930",8.57,140.02,11.7,219780858,70.0,5.8
Clinton Romero,"Rp413,649,345","Rp13,864,147","Rp13,864,147","Rp51,705,646",10.75,111.63,9.3,0,0.0,0.0
Mary Castillo MD,"Rp282,619,295","Rp9,193,956","Rp9,193,956","Rp313,000,222",10.83,110.80,9.2,171690575,55.4,4.6
Christopher Lee,"Rp346,210,646","Rp16,579,173","Rp2,233,782","Rp184,187,162",3.4,12.39,1.0,11081839,0.4,0.0
Caleb Campbell,"Rp211,975,742","Rp38,259,647","Rp25,683,333","Rp153,729,981",8,11.30,0.9,47742110,1.9,0.2
Marcus Barber,"Rp164,370,901","Rp25,214,365","Rp23,586,325","Rp267,927,152",6.77,85.34,7.1,185741702,34.7,2.9
Julian Sullivan,"Rp345,663,154","Rp17,529,416","Rp17,529,416","Rp228,856,421",13.19,90.98,7.6,56024844,45.5,3.8
Andrew Williams,"Rp399,115,544","Rp10,271,476","Rp10,271,476","Rp138,510,535",9.84,121.95,10.2,0,0.0,0.0
John Jackson,"Rp139,027,769","Rp6,266,402","Rp6,266,402","Rp398,948,847",8.46,141.84,11.8,329434963,70.9,5.9
Jason Clark,"Rp193,157,310","Rp27,899,065","Rp3,794,291","Rp349,548,791",2.62,14.06,1.2,252970136,5.1,0.4
Jonathan Parker,"Rp468,878,141","Rp23,886,096","Rp23,886,096","Rp261,359,909",9.48,126.58,10.5,26920839,63.3,5.3
Robert Fox,"Rp166,943,484","Rp42,054,025","Rp6,952,075","Rp344,309,376",2.64,9.60,0.8,260837634,3.7,0.3
Thomas Johnson,"Rp391,966,485","Rp17,072,989","Rp17,072,989","Rp276,760,771",5.72,209.79,17.5,80777529,104.9,8.7
Sabrina Tran,"Rp400,125,881","Rp16,126,263","Rp16,126,263","Rp186,933,680",3,400.00,33.3,0,0.0,0.0
Jonathan Brown,"Rp484,184,249","Rp7,261,946","Rp7,261,946","Rp71,799,468",10.69,112.25,9.4,0,0.0,0.0
Christina White,"Rp140,997,589","Rp19,867,309","Rp19,867,309","Rp123,269,303",3.89,308.48,25.7,52770509,154.2,12.9
Brian Ramirez,"Rp11,079,600","Rp12,944,790","Rp12,944,790","Rp28,429,562",6.49,184.90,15.4,22889762,92.4,7.7
Charles Griffin,"Rp170,409,267","Rp15,800,127","Rp14,670,380","Rp142,064,002",13.54,51.99,4.3,56859369,16.1,1.3
Dr. Travis Brown,"Rp176,793,897","Rp46,946,719","Rp26,151,842","Rp387,326,858",3.86,17.57,1.5,298929910,6.9,0.6
John Cobb,"Rp321,817,029","Rp17,338,768","Rp12,431,645","Rp51,338,604",8.11,9.77,0.8,0,0.0,0.0
Anthony Smith,"Rp238,773,646","Rp4,732,465","Rp4,732,465","Rp44,542,531",6.87,174.67,14.6,0,0.0,0.0
Amy Sandoval,"Rp483,265,205","Rp32,396,082","Rp7,287,913","Rp172,486,618",1.25,6.82,0.6,0,0.0,0.0
Valerie Clements,"Rp169,267,818","Rp16,109,773","Rp16,109,773","Rp365,193,453",12.1,99.17,8.3,280559544,49.6,4.1
Paul Petersen,"Rp18,849,851","Rp34,404,552","Rp13,476,429","Rp137,954,101",1.97,6.52,0.5,128529176,3.0,0.3
Melinda Porter,"Rp339,214,564","Rp47,599,847","Rp40,871,173","Rp222,485,674",7.64,27.32,2.3,52878392,3.7,0.3
Nicole Diaz,"Rp105,534,048","Rp39,413,676","Rp4,804,802","Rp60,777,727",8.85,1.73,0.1,8010703,0.1,0.0
Lisa Green,"Rp344,444,807","Rp36,877,350","Rp36,877,350","Rp173,148,954",9.8,122.45,10.2,926551,61.2,5.1
Kimberly Ramos,"Rp95,871,668","Rp22,023,125","Rp22,023,125","Rp155,430,953",10.64,112.78,9.4,107495119,56.4,4.7
Thomas Tyler,"Rp102,526,139","Rp32,228,266","Rp32,228,266","Rp92,764,530",4.55,263.74,22.0,41501461,131.9,11.0
Jesse Mccoy,"Rp400,073,323","Rp3,116,739","Rp3,116,739","Rp105,296,497",1.14,1052.63,87.7,0,0.0,0.0
Christopher Ramirez,"Rp397,628,651","Rp34,251,097","Rp14,001,352","Rp276,468,805",11.13,12.12,1.0,77654480,1.9,0.2
Calvin Santos,"Rp363,326,182","Rp46,229,625","Rp33,219,362","Rp31,687,290",8.5,2.39,0.2,0,0.0,0.0
Deborah Reynolds,"Rp376,564,547","Rp45,723,356","Rp9,084,609","Rp99,754,940",12.71,2.65,0.2,0,0.0,0.0
Javier Thompson,"Rp405,236,101","Rp18,985,249","Rp18,985,249","Rp363,728,590",12.5,96.00,8.0,161110540,48.0,4.0
John Watkins,"Rp231,971,308","Rp31,700,374","Rp22,892,578","Rp173,555,037",12.81,16.28,1.4,57569383,3.1,0.3
Jared Kelly,"Rp307,984,991","Rp14,878,474","Rp12,091,985","Rp26,680,041",7.79,9.01,0.8,0,0.0,0.0
Austin Lloyd,"Rp144,667,123","Rp46,309,893","Rp20,029,773","Rp112,731,428",5.67,4.20,0.4,40397867,0.8,0.1
Shelia Kirk,"Rp166,138,845","Rp37,569,361","Rp31,464,339","Rp372,134,841",12.08,37.78,3.1,289065419,16.0,1.3
Herbert Griffin,"Rp184,526,510","Rp38,974,996","Rp3,490,687","Rp352,543,721",7.32,9.37,0.8,260280466,3.5,0.3
Thomas Anderson,"Rp330,027,490","Rp13,971,177","Rp13,971,177","Rp279,734,948",3.57,336.13,28.0,114721203,168.1,14.0
Cody Zuniga,"Rp63,386,038","Rp39,207,525","Rp34,318,232","Rp62,568,342",12.97,11.24,0.9,30875323,3.0,0.2
Raymond Jones,"Rp67,351,079","Rp23,080,673","Rp13,336,501","Rp301,901,253",13.36,23.04,1.9,268225714,10.5,0.9
Michael Barnes,"Rp444,183,987","Rp34,366,160","Rp7,272,864","Rp334,455,611",7.53,11.46,1.0,112363618,2.0,0.2
Timothy Mcconnell,"Rp43,266,319","Rp49,365,848","Rp5,788,963","Rp199,910,408",2.06,4.55,0.4,178277249,2.0,0.2
Paul Anderson,"Rp443,156,364","Rp9,944,121","Rp9,944,121","Rp383,823,452",6.43,186.63,15.6,162245270,93.3,7.8
Kevin Larson,"Rp416,032,753","Rp9,238,795","Rp9,238,795","Rp169,950,092",12.25,97.96,8.2,0,0.0,0.0
Holly Davis,"Rp80,009,467","Rp17,157,398","Rp7,185,773","Rp374,949,102",13.62,26.35,2.2,334944369,12.2,1.0
Gregory Daniels,"Rp394,808,041","Rp43,345,400","Rp14,728,700","Rp119,178,685",3.85,4.11,0.3,0,0.0,0.0
Steven Palmer,"Rp323,345,693","Rp6,751,198","Rp6,751,198","Rp67,199,283",1.94,618.56,51.5,0,0.0,0.0
Stephanie Graves,"Rp186,383,634","Rp18,732,903","Rp13,021,186","Rp137,876,176",13.28,19.05,1.6,44684359,3.6,0.3
Mercedes Jones,"Rp204,073,232","Rp6,138,145","Rp6,138,145","Rp50,148,268",6.45,186.05,15.5,0,0.0,0.0
Michael Hughes,"Rp112,310,007","Rp32,063,435","Rp26,691,736","Rp393,209,647",8.58,48.05,4.0,337054644,21.7,1.8
Ian Schmidt,"Rp99,473,854","Rp37,780,908","Rp37,044,468","Rp106,098,773",14.55,52.45,4.4,56361846,19.8,1.7
David Harris,"Rp261,344,658","Rp40,738,488","Rp26,362,375","Rp182,844,291",1.93,12.46,1.0,52171962,1.8,0.2
Caleb Mullen,"Rp284,755,163","Rp45,515,252","Rp42,733,588","Rp130,176,996",10.08,33.59,2.8,0,0.0,0.0
Holly Russell,"Rp346,967,606","Rp18,016,390","Rp18,016,390","Rp235,689,072",2.04,588.24,49.0,62205269,294.1,24.5
Kevin Johnston PhD,"Rp13,695,961","Rp49,361,481","Rp44,907,203","Rp143,545,036",6.26,27.59,2.3,136697056,13.2,1.1
Robert Cochran,"Rp118,880,612","Rp38,055,276","Rp9,904,428","Rp184,120,801",12.25,6.13,0.5,124680495,2.1,0.2
Richard Barnett,"Rp264,836,185","Rp45,872,208","Rp13,401,147","Rp191,130,796",7.07,5.69,0.5,58712704,0.9,0.1
Dillon Lee,"Rp386,447,092","Rp37,954,715","Rp4,322,523","Rp56,117,909",14.96,1.63,0.1,0,0.0,0.0
Nancy Rodriguez,"Rp357,346,749","Rp25,704,829","Rp25,704,829","Rp364,273,850",8.83,135.90,11.3,185600476,68.0,5.7
Bernard Russell,"Rp379,281,814","Rp17,142,073","Rp6,746,771","Rp385,315,990",5.5,31.68,2.6,195675083,8.7,0.7
Jermaine Walton DDS,"Rp238,983,934","Rp3,691,757","Rp3,691,757","Rp286,068,466",4.08,294.12,24.5,166576499,147.1,12.3
Allen Montgomery,"Rp314,831,880","Rp3,390,719","Rp3,390,719","Rp229,769,577",5.91,203.05,16.9,72353637,101.5,8.5
Aaron Galvan,"Rp282,729,995","Rp46,470,977","Rp2,864,645","Rp334,917,793",6.22,7.39,0.6,193552796,2.2,0.2
Matthew Carter,"Rp155,826,804","Rp46,092,987","Rp3,428,127","Rp45,093,087",1.96,1.06,0.1,0,0.0,0.0
Dylan Hoffman,"Rp259,939,584","Rp26,631,669","Rp10,859,690","Rp365,836,204",6.17,20.72,1.7,235866412,6.9,0.6
Jillian Douglas,"Rp217,422,521","Rp18,713,642","Rp18,713,642","Rp304,032,114",7.5,160.00,13.3,195320854,80.0,6.7
Tammy Zimmerman,"Rp182,716,665","Rp23,073,266","Rp23,073,266","Rp229,072,441",11.12,107.91,9.0,137714109,54.0,4.5
Valerie Barnes,"Rp145,021,056","Rp43,381,731","Rp25,292,566","Rp252,594,480",10.19,12.48,1.0,180083952,4.6,0.4
Adrienne Anderson,"Rp299,275,630","Rp26,025,010","Rp10,336,900","Rp36,981,908",10.92,2.31,0.2,0,0.0,0.0
Sean Butler,"Rp11,043,233","Rp27,694,812","Rp20,392,993","Rp230,001,854",1.12,30.60,2.5,224480238,14.9,1.2
Yvonne Montoya,"Rp221,426,941","Rp41,457,098","Rp30,670,729","Rp91,963,179",4.05,8.29,0.7,0,0.0,0.0
Kelly Perry,"Rp413,182,709","Rp34,970,599","Rp34,970,599","Rp397,634,667",10.26,116.96,9.7,191043313,58.5,4.9
Bradley Higgins,"Rp394,811,567","Rp42,787,171","Rp2,973,181","Rp351,554,506",7.78,8.35,0.7,154148723,1.9,0.2
Tiffany Miller MD,"Rp258,532,568","Rp4,270,896","Rp4,270,896","Rp252,857,510",1.07,1121.50,93.5,123591226,560.7,46.7
Corey Rios,"Rp161,171,559","Rp14,952,314","Rp14,952,314","Rp197,533,315",12.26,97.88,8.2,116947536,48.9,4.1
David Smith,"Rp266,040,172","Rp4,059,622","Rp4,059,622","Rp177,838,272",11.82,101.52,8.5,44818186,50.8,4.2
Jordan Mcpherson,"Rp138,565,108","Rp7,422,375","Rp7,422,375","Rp350,605,723",8.68,138.25,11.5,281323169,69.1,5.8
Richard Norman,"Rp66,996,736","Rp19,770,274","Rp19,770,274","Rp361,415,422",1.93,621.76,51.8,327917054,310.9,25.9
Gina White,"Rp353,018,767","Rp34,354,977","Rp8,976,610","Rp65,974,359",11.73,2.54,0.2,0,0.0,0.0
Robin Dennis,"Rp81,709,884","Rp28,874,486","Rp8,210,715","Rp301,540,642",9.17,13.13,1.1,260685700,5.8,0.5
Tyler Webb,"Rp494,888,550","Rp34,873,646","Rp29,488,445","Rp114,613,964",11.95,17.56,1.5,0,0.0,0.0
Tina Garcia,"Rp147,917,119","Rp7,131,479","Rp7,131,479","Rp10,301,358",11.52,104.17,8.7,0,0.0,0.0
David Williams,"Rp243,448,894","Rp45,955,157","Rp27,303,302","Rp291,718,817",12.24,13.49,1.1,169994370,4.2,0.3
Beverly Brown,"Rp270,588,100","Rp21,409,209","Rp21,409,209","Rp358,514,467",8.25,145.45,12.1,223220417,72.7,6.1
